# Preamp data for use in Raven-X, Note: follow strict format for this file
Preamp_type	HARP
Preamp_serial   HARP
# start gain table		
Freq_Hz	Gain_dB
7	34.95
9	38.65
11	40.85
13	42.25
15	43.25
17	44.05
19	44.55
21	44.95
23	45.35
25	45.55
27	45.75
29	45.95
31	46.05
33	46.15
35	46.25
37	46.35
39	46.45
41	46.45
43	46.55
45	46.55
47	46.65
49	46.65
51	46.65
53	46.75
55	46.75
57	46.75
59	46.75
61	46.85
63	46.85
65	46.85
67	46.85
69	46.85
71	46.85
73	46.85
75	46.95
77	46.95
79	46.95
81	46.95
83	46.95
85	46.95
87	46.95
89	46.95
91	46.95
93	46.95
95	46.95
97	46.95
99	46.95
101	46.95
103	46.95
105	46.95
107	46.95
109	46.95
111	47.05
113	47.05
115	47.05
117	47.05
119	47.05
121	47.05
123	47.05
125	47.05
127	47.05
129	47.05
131	47.05
133	47.05
135	47.05
137	47.05
139	47.05
141	47.05
143	47.05
145	47.05
147	47.05
149	47.05
151	47.05
153	47.05
155	47.05
157	47.05
159	47.05
161	47.05
163	47.05
165	47.05
167	47.05
169	47.05
171	47.05
173	47.05
175	47.05
177	47.05
179	47.05
181	47.05
183	47.05
185	47.05
187	47.05
189	47.05
191	47.05
193	47.05
195	47.05
197	47.05
199	47.05
400	47.05
500	47.05
600	47.05
700	47.05
800	47.05
900	47.05
1000	47.05
1100	47.15
1200	47.25
1300	47.35
1400	47.45
1500	47.55
1600	47.65
1700	47.75
1800	47.85
1900	47.95
2000	48.05
2100	48.05
2200	48.05
2300	48.05
2400	48.05
2500	48.05
2600	48.05
2700	48.05
2800	48.05
2900	48.05
3000	48.05
3100	48.05
3200	48.05
3300	47.95
3400	47.95
3500	47.95
3600	47.95
3700	47.95
3800	47.95
3900	47.95
4000	47.95
4100	47.95
4200	47.95
4300	47.95
4400	47.95
4500	47.95
4600	47.95
4700	47.85
4800	47.85
4900	47.85
5000	47.85
5100	47.85
5200	47.85
5300	47.85
5400	47.85
5500	47.85
5600	47.85
5700	47.75
5800	47.75
5900	47.75
6000	47.75
6100	47.75
6200	47.75
6300	47.75
6400	47.75
6500	47.75
6600	47.65
6700	47.65
6800	47.65
6900	47.65
7000	47.65
7100	47.65
7200	47.65
7300	47.65
7400	47.55
7500	47.55
7600	47.55
7700	47.55
7800	47.55
7900	47.55
8000	47.55
8100	47.45
8200	47.35
8300	47.35
8400	47.25
8500	47.25
8600	47.15
8700	47.05
8800	47.05
8900	46.95
9000	46.85
9100	46.85
9200	46.75
9300	46.65
9400	46.65
9500	46.55
9600	46.45
9700	46.45
9800	46.35
9900	46.25
10000	46.35
10300	46.25
10600	46.15
10900	46.05
11200	45.95
11500	45.85
11800	45.75
12100	45.55
12400	45.35
12700	45.15
13000	44.95
13300	45.35
13600	45.75
13900	46.15
14200	46.45
14500	46.55
14800	46.75
15100	46.85
15400	46.95
15700	47.05
16000	47.15
16300	47.25
16600	47.35
16900	47.35
17200	47.45
17500	47.45
17800	47.45
18100	47.55
18400	47.65
18700	47.75
19000	47.85
19300	47.95
19600	48.05
19900	48.15
20200	48.15
20500	48.25
20800	48.35
21100	48.35
21400	48.45
21700	48.45
22000	48.45
22300	48.45
22600	48.45
22900	48.55
23200	48.55
23500	48.55
23800	48.45
24100	48.35
24400	47.95
24700	47.55
25000	47.15
25300	46.45
25600	45.95
25900	45.35
26200	44.75
26500	44.15
26800	43.55
27100	43.05
27400	42.65
27700	42.25
28000	41.95
28300	41.85
28600	41.75
28900	41.65
29200	41.75
29500	41.85
29800	41.95
30100	41.95
30400	42.05
30700	42.15
31000	42.15
31300	42.15
31600	42.25
31900	42.25
32200	42.25
32500	42.35
32800	42.35
33100	42.45
33400	42.45
33700	42.45
34000	42.45
34300	42.55
34600	42.55
34900	42.55
35200	42.55
35500	42.65
35800	42.65
36100	42.65
36400	42.65
36700	42.65
37000	42.75
37300	42.75
37600	42.75
37900	42.75
38200	42.75
38500	42.75
38800	42.75
39100	42.75
39400	42.75
39700	42.75
40000	42.75
41000	43.05
42000	43.25
43000	43.45
44000	43.55
45000	43.65
46000	43.85
47000	43.95
48000	44.05
49000	44.15
50000	44.25
51000	44.45
52000	44.55
53000	44.65
54000	44.75
55000	44.85
56000	44.95
57000	45.05
58000	45.15
59000	45.25
60000	45.35
61000	45.45
62000	45.45
63000	45.55
64000	45.55
65000	45.65
66000	45.65
67000	45.65
68000	45.65
69000	45.75
70000	45.75
71000	45.85
72000	45.95
73000	46.05
74000	46.05
75000	46.15
76000	46.25
77000	46.35
78000	46.35
79000	46.35
80000	46.45
81000	46.25
82000	46.25
83000	46.05
84000	45.95
85000	45.85
86000	45.65
87000	45.55
88000	45.35
89000	45.25
90000	45.05
91000	44.75
92000	44.35
93000	43.95
94000	43.55
95000	43.15
96000	42.75
97000	42.35
98000	41.95
99000	41.55
100000	41.15
101000	41.35
102000	40.65
103000	40.45
104000	40.25
105000	39.95
106000	39.75
107000	39.45
108000	39.25
109000	38.95
110000	38.75
111000	38.55
112000	38.25
113000	37.95
114000	37.75
115000	37.45
116000	37.15
117000	36.95
118000	36.65
119000	36.35
120000	36.15
121000	35.75
122000	35.55
123000	35.35
124000	35.05
125000	34.75
126000	35.15
127000	34.25
128000	33.95
129000	33.75
130000	33.45
131000	33.25
132000	32.95
133000	32.65
134000	32.35
135000	32.05
136000	31.85
137000	31.65
138000	31.35
139000	31.05
140000	30.75
141000	30.55
142000	30.25
143000	29.95
144000	29.75
145000	29.55
146000	29.15
147000	28.95
148000	28.65
149000	28.45
150000	28.15
151000	28.15
152000	27.65
153000	27.45
154000	27.15
155000	26.85
156000	26.65
157000	26.35
158000	26.15
159000	25.85
160000	25.65
161000	25.25
162000	25.15
163000	24.85
164000	24.65
165000	24.45
166000	24.15
167000	23.85
168000	23.65
169000	23.45
170000	23.15
171000	22.95
172000	22.65
173000	22.45
174000	22.25
175000	21.95
176000	21.75
177000	21.55
178000	21.25
179000	21.05
180000	20.75
181000	20.55
182000	20.35
183000	20.05
184000	19.85
185000	19.65
186000	19.35
187000	19.15
188000	18.95
189000	18.75
190000	18.45
191000	18.35
192000	18.05
193000	17.85
194000	17.55
195000	17.35
196000	17.15
197000	16.95
198000	16.65
199000	16.45
200000	16.25

